Content type,Audience,Theme,Owner,Content,Remaining characters
Headline,Individual,Aspirational,Bond,Your personal security concierge,-2
Headline,Individual,Aspirational,Bond,Bodyguards on demand,10
Headline,Individual,Realistic,Bond,Have a pro look after you,5
Headline,Individual,Realistic,Bond,Watch survivor's testimony,4
Headline,Individual,Realistic,Bond,Bond saves an abducted user,2
Headline,Individual,Generic,Bond,Why billionaires choose Bond,2
Headline,Individual,Generic,Bond,Why corporate execs use Bond,3
Headline,Family,Aspirational,Bond,AI Powered Personal Security,2
Headline,Family,Aspirational,Bond,family members: never alone,2
Headline,Family,Realistic,Bond,Who is your go to expert on security?,2
Headline,Family,Realistic,Bond,your family deserves security pros,-4
Headline,Family,Realistic,Bond,Bond: Security is a profession.,-1
Headline,Family,Generic,Bond,Who is looking after your kids?,-1
Headline,Family,Generic,Bond,Bond Security: are you informed?,-2
Description,Individual,Realistic,Bond,"When an uncomfortable situation becomes dangerous, it is typically too late to dial 911.",1
Description,Individual,Generic,Bond,You can afford Bond Security: protecting executives of the largst corporations in the world.,-2
Description,Family,Realistic,Bond,"She is not where she is supposed to be, and is not responding? How do you help your child?",0
Description,Family,Generic,Bond,"When Bond looks after your family, you are in the hands of people who protect presidents",2
Headline,Family,Generic,Adalane,Know Where Your Family Is,
Headline,Family,Generic,Adalane,Real-Time Family Tracking,
Headline,Family,Generic,Adalane,See Your Family's Location,
Headline,Family,Generic,Adalane,Arrival Alerts for Loved Ones,
Headline,Family,Generic,Adalane,Track Family in Real Time,
Headline,Family,Generic,Adalane,Family Safety App - Try Free,
Headline,Family,Generic,Adalane,Live Location for Your Family,
Headline,Family,Aspirational,Adalane,Family Peace of Mind - 24/7,
Headline,Family,Generic,Adalane,Unlimited Family Location,
Headline,Family,Generic,Adalane,Get Alerts When They Arrive,
Headline,Family,Aspirational,Adalane,AI-Powered Family Safety App,
Description,Family,Generic,Adalane,Track your family in real time. Bond alerts when loved ones arrive or leave. Try free.,
Headline,Individual,Aspirational,Adalane,Walk Home Safer Tonight,
Headline,Individual,Generic,Adalane,Bond Monitors Your Walk Home,
Headline,Individual,Aspirational,Adalane,Never Walk Alone Again,
Headline,Individual,Generic,Adalane,Live Agent Walks With You,
Headline,Individual,Generic,Adalane,Safe Walk Home App,
Headline,Individual,Generic,Adalane,Personal Safety App - Try Free,
Headline,Individual,Aspirational,Adalane,A Guardian in Your Pocket,
Headline,Individual,Generic,Adalane,Get Home Safe - Tap Bond,
Headline,Individual,Generic,Adalane,Late Night? Bond Has You.,
Headline,Individual,Generic,Adalane,We Watch Your Route 24/7,
Headline,Individual,Generic,Adalane,Track Me On The Go App,
Headline,Individual,Generic,Adalane,Safety App for Walking Alone,
Headline,Individual,Aspirational,Adalane,AI-Powered Walk Safety App,
Headline,Individual,Generic,Adalane,Rated 4.8 Stars - Download Now,
Headline,Individual,Generic,Adalane,Try Bond Free - 3 Days,
Description,Individual,Generic,Adalane,Walking home alone? Bond monitors your route and agents respond if needed. Try free.,
Description,Individual,Generic,Adalane,Bond's Track Me feature watches your walk. If you deviate or don't arrive we check in.,
Description,Individual,Generic,Adalane,A live Bond agent stays with you until you're safely home. Tap once - try free 3 days.,
Description,Individual,Generic,Adalane,AI + live agents monitor every step. If something's wrong we respond before you need 911.,
Headline,Individual,Generic,Adalane,Panic Button That Actually Works,
Headline,Individual,Generic,Adalane,Silent Safety Standby Mode,
Headline,Individual,Generic,Adalane,Discreet Emergency Safety App,
Headline,Individual,Generic,Adalane,Press & Hold - Agent on Call,
Headline,Individual,Generic,Adalane,Feel Unsafe? Don't Text. Tap.,
Headline,Individual,Generic,Adalane,Personal Security Standby,
Headline,Individual,Generic,Adalane,Silent Panic Button App,
Headline,Individual,Generic,Adalane,Agent on Standby in Seconds,
Headline,Individual,Generic,Adalane,Discreet Help - No Words Needed,
Headline,Individual,Generic,Adalane,Safety App with Panic Button,
Headline,Individual,Generic,Adalane,SOS App - Human Response,
Headline,Individual,Generic,Adalane,Get Help Without Speaking,
Headline,Individual,Generic,Adalane,Emergency Alert App - Try Free,
Headline,Individual,Generic,Adalane,Rated 4.8 Stars - Download Bond,
Headline,Individual,Generic,Adalane,Try Bond Free - 3 Days,
Description,Individual,Generic,Adalane,When you feel unsafe but can't speak - Ready An Agent silently puts help on standby.,
Description,Individual,Generic,Adalane,Bond's Ready An Agent puts a live security expert on alert - no words no attention drawn.,
Description,Individual,Generic,Adalane,Press and hold to alert a live agent without a word. Bond acts if you don't respond.,
Description,Individual,Generic,Adalane,Hold the button to put a live agent on standby - silently. Release to connect instantly.,
Headline,Individual,Aspirational,Adalane,Live Agent Watches Over You,
Headline,Individual,Generic,Adalane,Virtual Security Escort App,
Headline,Individual,Generic,Adalane,Video Monitor: Real Agents,
Headline,Individual,Generic,Adalane,Real Person Watching You Live,
Headline,Individual,Generic,Adalane,Tap Once - Agent Appears,
Headline,Individual,Generic,Adalane,Live Security Video Monitoring,
Headline,Individual,Generic,Adalane,Safer in Seconds - Tap Bond,
Headline,Individual,Generic,Adalane,Not AI. A Real Human Agent.,
Headline,Individual,Aspirational,Adalane,Virtual Bodyguard App,
Headline,Individual,Generic,Adalane,24/7 Live Agent on Your Screen,
Headline,Individual,Aspirational,Adalane,Someone's With You - 24/7,
Headline,Individual,Generic,Adalane,Security Agents on Live Video,
Headline,Individual,Generic,Adalane,Real Agent. Real Time. Free Trial.,
Headline,Individual,Generic,Adalane,Rated 4.8 Stars - Download Bond,
Headline,Individual,Generic,Adalane,Try Bond Free - 3 Days,
Description,Individual,Generic,Adalane,Live video security in your pocket. A Bond agent monitors your surroundings in real time.,
Description,Individual,Generic,Adalane,Video Monitor Me: a live agent on your screen 24/7. Not a bot - a real security pro.,
Description,Individual,Generic,Adalane,Not AI - a real agent monitors you via live video and responds if needed. Try free.,
Description,Individual,Generic,Adalane,Tap Video Monitor Me - a live Bond Security Agent appears on screen and stays until safe.,
Headline,Individual,Generic,Adalane,Get a Safe Car in Seconds,
Headline,Individual,Generic,Adalane,Safe Ride - No App Needed,
Headline,Individual,Generic,Adalane,Emergency Ride Home App,
Headline,Individual,Generic,Adalane,Bond Sends a Car to You,
Headline,Individual,Generic,Adalane,Unsafe? We Send a Car.,
Headline,Individual,Generic,Adalane,No Rideshare Account Needed,
Headline,Individual,Generic,Adalane,Safe Ride - Agent Included,
Headline,Individual,Generic,Adalane,Escape Fast - Tap Bond,
Headline,Individual,Generic,Adalane,Security Car Dispatch App,
Headline,Individual,Generic,Adalane,Agent + Car - One Tap.,
Headline,Individual,Generic,Adalane,Leave Fast. Stay Safe.,
Headline,Individual,Generic,Adalane,Personal Security Car Service,
Headline,Individual,Generic,Adalane,Rated 4.8 Stars - Download Bond,
