Set,Theme,Size,Headline,Tease,CTA,Image Generation Prompt
A,Emotion / Problem-Aware,"970x250 / 728x90",You shouldn't have to walk alone.,Bond puts a live security agent in your pocket — 24/7.,Try Free for 3 Days,"A lone woman walking away from camera on a wet urban sidewalk at night, phone glowing faintly in her hand, warm amber streetlight casting a long shadow ahead of her, cinematic mood, slightly vulnerable yet composed, pure black background with city street emerging from darkness, photorealistic, 35mm lens, shallow depth of field"
A,Emotion / Problem-Aware,300x250,Nobody should feel unsafe.,"Bond: AI + 24/7 live agents. Your personal security companion.",Download the App,"Portrait of a young woman glancing over her shoulder on a night city street, cautious but composed expression, soft bokeh of blurred city lights, cinematic color grade, pure black background, photorealistic, 50mm portrait lens"
A,Emotion / Problem-Aware,160x600,Not alone.,Bond's live agents are with you 24/7.,Try Free,"Tall vertical composition: woman walking alone down an empty dark street at night seen from behind, a faint glowing line of light traces her path forward like an invisible guardian, phone screen glow on her hand, pure black background, cinematic, photorealistic"
B,Proof / Credibility,"970x250 / 728x90",Advised by the former Director of the U.S. Secret Service.,"Bond brings elite-level personal security to everyone. 4.8 ★ App.",Download Bond,"A serious professional man in a dark tailored suit standing with authority, Secret Service aesthetic, earpiece visible, arms crossed, dramatic low-key studio lighting, pure black background, photorealistic, medium shot, cinematic"
B,Proof / Credibility,300x250,"4.8 Stars. Thousands of members. 24/7 security.","'It's definitely worth every penny.' — Jess B., Bond Member",Try Bond Free,"A sleek modern smartphone floating at a slight angle displaying a 4.8-star app rating screen, clean UI visible on screen, pure black background, soft product light rim lighting, studio product photography, photorealistic"
C,Feature-Led,"970x250 / 728x90",A live security agent watching over you — in seconds.,"Video Monitor Me. Track Me On The Go. On-Demand Bodyguard. All in one app.",Get the Bond App,"Two smartphones side by side held in a woman's hands: left phone shows a live video call with a security agent on screen, right phone shows a glowing GPS route map, pure black background, dramatic accent lighting on screens, photorealistic product shot"
C,Feature-Led,300x250,Tap once. A real agent responds.,"Video monitoring, GPS tracking, emergency response & on-demand bodyguards.",Try Bond Free — 3 Days,"Close-up of a finger hovering over a smartphone screen showing a live video security agent call interface, dramatic high-contrast lighting, pure black background, photorealistic, macro lens, tension and immediacy"
D — Free Tier,Pricing-Led,"970x250 / 728x90",Real-time family tracking. Completely free.,"Bond's free Defender plan — unlimited location sharing, arrival alerts & urgent tools. No credit card.",Download Free,"Stylized top-down view of a minimal city map with five glowing location pins in different soft colors connected by thin light lines, clean UI aesthetic, pure black background, soft neon glow on pins, digital illustration style"
D — Free Tier,Pricing-Led,300x250,Free family safety. No catch.,"See where your family is in real time. Get alerts when they arrive or leave. Free, forever.",Get Bond Free,"A parent smiling down at a smartphone showing a family location tracking screen, warm natural skin tones, gentle key light, pure black background, photorealistic, candid and relaxed mood"
D — Free Tier,Pricing-Led,160x600,Free.,Real-time location for your whole family. Urgent tools. Zero cost.,Download Now,"Tall vertical minimal graphic: a single glowing white location pin icon centered with soft family silhouette icons arranged around it, connected by thin luminous lines, pure black background, clean digital illustration, modern and approachable"
