Author,Rating,Title,Text,Date,Version,Persona,UseCase,Segment,Featured
Verified User,5,Kudos to James at Bond!,"Texting at 3:00 AM with a professional security agent provided me and my family with needed assurance! It instantly made us feel safer and capable of increasing our level of protection if we needed it. Thankfully things were resolved, and our worst case scenario didn't materialize, but I'm going to insist that all my family members have Bond on their phone from now on!",2022-07-10,2.75.0,parent,family-emergency,families,TRUE
Verified User,5,Saved my life.. LITERALLY!,"If I wouldn't have had Bond on my side, I would be 6 feet under right now. Unable to call 911, countless times at the hands of my viscous, abusive, and psychotic ex-husband; Bond was my saving grace. He would stop abusing me when Bond was watching and the videos are proof of what he did to me for over a year and a half. I would recommend Bond to anyone without a voice, or a way to cry for help. Thank you Bond. I owe you my life!!!!! 🙏😭💕❤️",2021-05-11,2.45.0,domestic-violence-survivor,domestic-violence-protection,families,TRUE
Verified User,5,Excellent,"Even though ive never had to use the live services of Bond, i feel as if the service will provide safe, quick response to my need if I were to activate it. I live alone and i have some medical issues. At 76 y.o.a. it's imperative that I have immediate response in case of an emergency. The practice mode assures me that the service is working as it should be. it gives me confidence in how the service will respond.",2021-06-04,2.47.0,elderly-parent,medical-emergency-response,families,TRUE
Verified User,5,Thankful for Bond,"As a nomadic single female I really have appreciated having this app. Not only does it provide peace of mind and safety they went above and beyond when my aunt passed away. They assisted us in calling 911 in her home town and then called to check on us some days afterwards. 🙏🏽",2025-10-05,2.115.0,family-member,family-emergency,families,TRUE
Verified User,5,Helps me feel safe,"Got a subscription as a gift from my brother and it's been amazing! Living on my own in Los Angeles, it truly makes me feel safe knowing I have bond in my back pocket",2021-07-21,2.51.0,young-adult,living-alone,families,FALSE
Verified User,5,Just signing up!,"I have been having problems recently with trespassers on our private property here at home, several attempts to break in thru the back doors as well as personnel physical threats directed at me. I'm hoping that BOND can help me and our local police get these people to secure my home once again!",2021-06-07,2.47.0,homeowner,home-security,families,FALSE
Verified User,5,Customer service,"This is simply going to change the way we protect ourselves and love ones. Super easy to use",2021-05-22,2.46.0,parent,family-protection,families,FALSE
Verified User,5,Security,"I absolutely love this app. It's 2am and I just walked around my house because I thought I heard something. I usually feel so nervous doing that but with this app ready in my hand I felt so confident. Thank you so much for doing a wonderful job.",2021-02-20,2.40.0,homeowner,home-security,families,FALSE
Verified User,5,Everyone needs this!,"It really is like having a personal safety team at the ready 24/7. It has made me feel safer just having this on my phone! Every person I've interacted with at Bond has really been amazing, and go above and beyond. Highly recommend!",2025-01-18,2.111.0,parent,family-safety,families,TRUE
Verified User,5,I love this app,"It's is so refreshing to know you have someone by your side if/when you need them. I have used bond for roadside assistance as well as the track you on the go feature when I was driving out of state! If you happen to have to make a stop they will check on you to make sure you feel safe. This is the best app anyone could ever have! I am always telling my friends about it!",2022-10-24,2.83.0,parent,travel-safety,families,FALSE
